,title,genres,tmdb_id
0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,862
1,Jumanji (1995),Adventure|Children|Fantasy,8844
2,Grumpier Old Men (1995),Comedy|Romance,15602
3,Waiting to Exhale (1995),Comedy|Drama|Romance,31357
4,Father of the Bride Part II (1995),Comedy,11862
5,Heat (1995),Action|Crime|Thriller,949
6,Sabrina (1995),Comedy|Romance,11860
7,Tom and Huck (1995),Adventure|Children,45325
8,Sudden Death (1995),Action,9091
9,GoldenEye (1995),Action|Adventure|Thriller,710
10,"American President, The (1995)",Comedy|Drama|Romance,9087
11,Dracula: Dead and Loving It (1995),Comedy|Horror,12110
12,Balto (1995),Adventure|Animation|Children,21032
13,Nixon (1995),Drama,10858
14,Cutthroat Island (1995),Action|Adventure|Romance,1408
15,Casino (1995),Crime|Drama,524
16,Sense and Sensibility (1995),Drama|Romance,4584
17,Four Rooms (1995),Comedy,5
18,Ace Ventura: When Nature Calls (1995),Comedy,9273
19,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,11517
20,Get Shorty (1995),Comedy|Crime|Thriller,8012
21,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1710
22,Assassins (1995),Action|Crime|Thriller,9691
23,Powder (1995),Drama|Sci-Fi,12665
24,Leaving Las Vegas (1995),Drama|Romance,451
25,Othello (1995),Drama,16420
26,Now and Then (1995),Children|Drama,9263
27,Persuasion (1995),Drama|Romance,17015
28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,902
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,37557
30,Dangerous Minds (1995),Drama,9909
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,63
32,Babe (1995),Children|Drama,9598
33,Dead Man Walking (1995),Crime|Drama,687
34,It Takes Two (1995),Children|Comedy,33689
35,Clueless (1995),Comedy|Romance,9603
36,"Cry, the Beloved Country (1995)",Drama,34615
37,Richard III (1995),Drama|War,31174
38,Dead Presidents (1995),Action|Crime|Drama,11443
39,Restoration (1995),Drama,35196
40,Mortal Kombat (1995),Action|Adventure|Fantasy,9312
41,To Die For (1995),Comedy|Drama|Thriller,577
42,How to Make an American Quilt (1995),Drama|Romance,11861
43,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,807
